iter	Passed	Remaining
0	393	392888
1	776	387330
2	1075	357551
3	1343	334471
4	1621	322718
5	1891	313294
6	2271	322257
7	2718	337032
8	3059	336878
9	3377	334398
10	3677	330658
11	4104	337896
12	4473	339634
13	4796	337830
14	5115	335894
15	5426	333712
16	5758	332982
17	6165	336353
18	6481	334645
19	6831	334766
20	7124	332160
21	7418	329767
22	7718	327877
23	8078	328529
24	8449	329546
25	8736	327286
26	9059	326463
27	9360	324941
28	9658	323397
29	9955	321885
30	10242	320156
31	10537	318749
32	10845	317819
33	11202	318296
34	11574	319135
35	11905	318801
36	12287	319813
37	12672	320811
38	13031	321105
39	13451	322841
40	13844	323827
41	14316	326563
42	14658	326239
43	14997	325864
44	15406	326970
45	15810	327905
46	16212	328724
47	16635	329934
48	17040	330728
49	17435	331275
50	17801	331241
51	18110	330159
52	18535	331196
53	18897	331053
54	19221	330253
55	19623	330791
56	19907	329351
57	20249	328874
58	20588	328370
59	20887	327231
60	21173	325932
61	21527	325689
62	21871	325297
63	22154	324006
64	22420	322507
65	22690	321107
66	22936	319397
67	23183	317755
68	23439	316263
69	23688	314713
70	23934	313175
71	24178	311632
72	24425	310169
73	24675	308781
74	24922	307371
75	25188	306242
76	25448	305056
77	25775	304676
78	26191	305352
79	26632	306272
80	26971	306014
81	27348	306166
82	27745	306541
83	28163	307117
84	28572	307571
85	29006	308274
86	29419	308736
87	29828	309134
88	30234	309477
89	30629	309700
90	31021	309872
91	31470	310595
92	31895	311063
93	32283	311154
94	32694	311460
95	33135	312024
96	33574	312555
97	33945	312437
98	34329	312432
99	34760	312840
100	35220	313497
101	35625	313642
102	36007	313579
103	36411	313697
104	36767	313397
105	37199	313736
106	37643	314164
107	37982	313707
108	38354	313524
109	38740	313446
110	39133	313420
111	39529	313414
112	39966	313719
113	40321	313373
114	40626	312650
115	40954	312098
116	41325	311885
117	41683	311567
118	42033	311188
119	42402	310952
120	42754	310584
121	43160	310617
122	43531	310383
123	43943	310437
124	44381	310670
125	44800	310756
126	45188	310624
127	45548	310297
128	45917	310032
129	46316	309964
130	46687	309707
131	47087	309633
132	47476	309492
133	47872	309385
134	48258	309213
135	48641	309015
136	49019	308787
137	49403	308590
138	49753	308184
139	50078	307623
140	50411	307114
141	50766	306744
142	51105	306275
143	51440	305784
144	51780	305326
145	52100	304750
146	52419	304178
147	52766	303762
148	53094	303244
149	53419	302711
150	53792	302447
151	54161	302162
152	54516	301800
153	54866	301407
154	55198	300919
155	55547	300524
156	55899	300146
157	56242	299725
158	56601	299385
159	56963	299058
160	57334	298782
161	57681	298376
162	57998	297819
163	58307	297224
164	58644	296775
165	58998	296416
166	59370	296140
167	59726	295787
168	60112	295581
169	60465	295215
170	60811	294811
171	61161	294430
172	61507	294025
173	61910	293895
174	62278	293596
175	62650	293318
176	63016	293007
177	63379	292685
178	63729	292299
179	64069	291872
180	64522	291956
181	64907	291728
182	65248	291298
183	65585	290857
184	65961	290585
185	66328	290277
186	66677	289886
187	67023	289483
188	67372	289095
189	67711	288664
190	68062	288284
191	68425	287956
192	68755	287492
193	69086	287027
194	69420	286580
195	69769	286196
196	70092	285705
197	70455	285379
198	70803	284992
199	71110	284443
200	71440	283986
201	71788	283599
202	72117	283140
203	72457	282727
204	72802	282329
205	73139	281904
206	73494	281552
207	73821	281088
208	74155	280654
209	74486	280211
210	74833	279827
211	75181	279449
212	75611	279370
213	75957	278984
214	76300	278584
215	76643	278187
216	76979	277763
217	77318	277352
218	77666	276974
219	77988	276506
220	78314	276050
221	78646	275615
222	78985	275211
223	79322	274796
224	79665	274402
225	80002	273989
226	80345	273599
227	80668	273140
228	81018	272774
229	81348	272340
230	81693	271959
231	82023	271525
232	82358	271112
233	82738	270845
234	83093	270496
235	83471	270222
236	83836	269905
237	84213	269626
238	84590	269346
239	84982	269112
240	85332	268745
241	85710	268465
242	86051	268070
243	86419	267759
244	86783	267433
245	87161	267154
246	87529	266839
247	87921	266602
248	88320	266380
249	88697	266093
250	89069	265789
251	89467	265561
252	89865	265333
253	90268	265119
254	90651	264843
255	91002	264475
256	91367	264146
257	91764	263911
258	92134	263595
259	92496	263260
260	92884	262995
261	93282	262758
262	93694	262559
263	94119	262392
264	94493	262084
265	94929	261948
266	95356	261782
267	95711	261421
268	96136	261247
269	96461	260803
270	96763	260298
271	97052	259757
272	97334	259202
273	97650	258736
274	97953	258241
275	98241	257705
276	98552	257233
277	98886	256819
278	99202	256361
279	99522	255914
280	99866	255531
281	100213	255152
282	100539	254722
283	100927	254449
284	101289	254113
285	101594	253630
286	101887	253121
287	102224	252722
288	102550	252295
289	102835	251770
290	103109	251219
291	103399	250708
292	103675	250164
293	103943	249606
294	104228	249088
295	104555	248671
296	104869	248227
297	105223	247876
298	105519	247387
299	105800	246866
300	106077	246338
301	106348	245798
302	106618	245257
303	106890	244723
304	107163	244191
305	107431	243651
306	107705	243126
307	107975	242594
308	108253	242081
309	108525	241557
310	108820	241085
311	109128	240641
312	109441	240211
313	109732	239734
314	110025	239261
315	110310	238773
316	110561	238211
317	110778	237581
318	110986	236934
319	111219	236342
320	111557	235973
321	111864	235540
322	112149	235062
323	112453	234624
324	112720	234111
325	112988	233602
326	113256	233094
327	113527	232592
328	113798	232093
329	114069	231595
330	114338	231095
331	114606	230593
332	114885	230115
333	115188	229686
334	115505	229287
335	115833	228908
336	116125	228459
337	116432	228041
338	116715	227578
339	116995	227109
340	117281	226652
341	117584	226230
342	117894	225821
343	118193	225392
344	118469	224919
345	118801	224556
346	119100	224128
347	119394	223692
348	119699	223278
349	119983	222825
350	120271	222382
351	120561	221941
352	120874	221545
353	121187	221150
354	121480	220717
355	121818	220368
356	122107	219930
357	122317	219351
358	122544	218805
359	122823	218352
360	123123	217938
361	123401	217486
362	123613	216919
363	123823	216350
364	124032	215782
365	124238	215211
366	124455	214659
367	124673	214113
368	124919	213614
369	125161	213112
370	125449	212689
371	125736	212265
372	126024	211843
373	126286	211377
374	126499	210831
375	126703	210274
376	126906	209716
377	127110	209161
378	127313	208606
379	127520	208059
380	127723	207509
381	127936	206975
382	128139	206428
383	128341	205881
384	128548	205344
385	128751	204801
386	128960	204270
387	129162	203731
388	129365	203194
389	129570	202661
390	129772	202126
391	129977	201597
392	130182	201070
393	130385	200541
394	130596	200027
395	130805	199510
396	131084	199102
397	131377	198717
398	131645	198292
399	131924	197886
400	132157	197412
401	132479	197071
402	132778	196696
403	133099	196355
404	133423	196016
405	133719	195639
406	133994	195230
407	134273	194827
408	134601	194497
409	134884	194102
410	135166	193705
411	135444	193304
412	135715	192893
413	135989	192487
414	136264	192083
415	136535	191675
416	136811	191273
417	137090	190877
418	137380	190497
419	137651	190089
420	137919	189679
421	138187	189271
422	138456	188863
423	138722	188453
424	139011	188073
425	139308	187707
426	139600	187333
427	139866	186923
428	140174	186572
429	140473	186208
430	140770	185843
431	141122	185550
432	141407	185169
433	141676	184766
434	141951	184373
435	142224	183978
436	142499	183586
437	142779	183200
438	143047	182801
439	143323	182411
440	143595	182018
441	143868	181626
442	144142	181235
443	144423	180855
444	144713	180485
445	144993	180103
446	145278	179729
447	145574	179368
448	145873	179011
449	146152	178631
450	146428	178246
451	146707	177866
452	146978	177477
453	147249	177089
454	147520	176700
455	147793	176314
456	148065	175929
457	148333	175539
458	148624	175175
459	148896	174791
